"sid","pid","PNUM","uid","TASK","DATASET","timestamp","ixn","code_topic","code_detail","code_datatype","flag_simultaneous","reps_group","reps_all","time","task_start","task_end","task_mins","task_second","relative_time_s","relative_time","reps_multi","REP","rep_simple","rep_type"
"0","j2719eertu2","P5","419","static","space",00:19:57,"FALSE","DATASET","data orientation",NA,FALSE,"dataframe","titanicDataFrame_head2_j2719eertu2space,",00:19:57,00:19:57,00:42:35,22.6,1358,0,0,FALSE,"dataframe","TABLE","CODE"
"1","j2719eertu2","P5","432","static","space",00:20:10,"FALSE","DATASET","data orientation",NA,FALSE,"dataframe","titanicDataFrame_head2_j2719eertu2space,",00:20:10,00:19:57,00:42:35,22.6,1358,13,13,FALSE,"dataframe","TABLE","CODE"
"2","j2719eertu2","P5","476","static","space",00:21:27,"FALSE","DATASET","data size",NA,FALSE,"profile","df_column_profile_j2719eertu2space,",00:21:27,00:19:57,00:42:35,22.6,1358,90,90,FALSE,"profile","profile","CHART"
"3","j2719eertu2","P5","450","static","space",00:21:29,"FALSE","VARIABLE","distribution shape [shape, skew, kurtosis]","distribution (categorical)",FALSE,"profile","df_column_profile_j2719eertu2space,",00:21:29,00:19:57,00:42:35,22.6,1358,92,92,FALSE,"profile","profile","CHART"
"4","j2719eertu2","P5","423","static","space",00:21:38,"FALSE","DATASET","missing data",NA,FALSE,"profile","df_column_profile_j2719eertu2space,",00:21:38,00:19:57,00:42:35,22.6,1358,101,101,FALSE,"profile","profile","CHART"
"5","j2719eertu2","P5","447","static","space",00:21:44,"FALSE","VARIABLE","distribution shape [shape, skew, kurtosis]","distribution (categorical)",FALSE,"profile","df_column_profile_j2719eertu2space,",00:21:44,00:19:57,00:42:35,22.6,1358,107,107,FALSE,"profile","profile","CHART"
"6","j2719eertu2","P5","421","static","space",00:21:53,"FALSE","VARIABLE","distribution shape [shape, skew, kurtosis]","distribution (categorical)",FALSE,"profile","df_column_profile_j2719eertu2space,",00:21:53,00:19:57,00:42:35,22.6,1358,116,116,FALSE,"profile","profile","CHART"
"7","j2719eertu2","P5","480","static","space",00:22:03,"FALSE","VARIABLE","distribution shape [shape, skew, kurtosis]","distribution  (continuous)",FALSE,"profile","df_column_profile_j2719eertu2space,",00:22:03,00:19:57,00:42:35,22.6,1358,126,126,FALSE,"profile","profile","CHART"
"8","j2719eertu2","P5","444","static","space",00:22:13,"FALSE","VARIABLE","distribution shape [shape, skew, kurtosis]","distribution (categorical)",FALSE,"profile","df_column_profile_j2719eertu2space,",00:22:13,00:19:57,00:42:35,22.6,1358,136,136,FALSE,"profile","profile","CHART"
"9","j2719eertu2","P5","458","static","space",00:22:19,"FALSE","VARIABLE","distribution shape [shape, skew, kurtosis]","distribution  (continuous)",FALSE,"profile","df_column_profile_j2719eertu2space,",00:22:19,00:19:57,00:42:35,22.6,1358,142,142,FALSE,"profile","profile","CHART"
