SID,PID,PNUM,Condition,Notebook,Timestamp,interaction_used,Data Type,Highlevel,Utterance Type,Final_Group,group,All representations,Flag Storytelling,Flag Correction,Flag Simultaneous Characterization,Utterance
0,j2719eertu2,P5,Static,Space,19:57,FALSE,,DATASET,data orientation,dataframe,dataframe,"titanicDataFrame_head2_j2719eertu2space, ",,,,"""Alright, so every row is the passenger, their home planet, whether or not they were asleep, what cabin they were in
destination"
1,j2719eertu2,P5,Static,Space,20:10,FALSE,,DATASET,data orientation,dataframe,dataframe,"titanicDataFrame_head2_j2719eertu2space, ",,,,I guess output variable would be whether or not they survived.
2,j2719eertu2,P5,Static,Space,21:27,FALSE,,DATASET,data size,profile,profile,"df_column_profile_j2719eertu2space, ",,,,"So there's 5,000 passengers."
3,j2719eertu2,P5,Static,Space,21:29,FALSE,distribution (categorical),VARIABLE,"distribution shape [shape, skew, kurtosis]",profile,profile,"df_column_profile_j2719eertu2space, ",,,,"Most of them are from Earth, but well, maybe like half of them are from Earth.The other half are split between through up on Mars. "
4,j2719eertu2,P5,Static,Space,21:38,FALSE,,DATASET,missing data,profile,profile,"df_column_profile_j2719eertu2space, ",,,,And then there's some with missing data.
5,j2719eertu2,P5,Static,Space,21:44,FALSE,distribution (categorical),VARIABLE,"distribution shape [shape, skew, kurtosis]",profile,profile,"df_column_profile_j2719eertu2space, ",,,,Like a third of them were asleep.
6,j2719eertu2,P5,Static,Space,21:53,FALSE,distribution (categorical),VARIABLE,"distribution shape [shape, skew, kurtosis]",profile,profile,"df_column_profile_j2719eertu2space, ",,,,"about 900 of them must have been in shared cabins which might be
useful to know later."
7,j2719eertu2,P5,Static,Space,22:03,FALSE,distribution  (continuous),VARIABLE,"distribution shape [shape, skew, kurtosis]",profile,profile,"df_column_profile_j2719eertu2space, ",,,,"The age is like almost normally distributed, slightly skewed to the side"
8,j2719eertu2,P5,Static,Space,22:13,FALSE,distribution (categorical),VARIABLE,"distribution shape [shape, skew, kurtosis]",profile,profile,"df_column_profile_j2719eertu2space, ",,,,it's like there's a couple of vip passengers
9,j2719eertu2,P5,Static,Space,22:19,FALSE,distribution  (continuous),VARIABLE,"distribution shape [shape, skew, kurtosis]",profile,profile,"df_column_profile_j2719eertu2space, ",,,,room service looks like logarithmically distributed.
10,j2719eertu2,P5,Static,Space,22:56,FALSE,distribution  (continuous),VARIABLE,distribution outlier (variable),describe,describe,"dataframe_describe_j2719eertu2space, ",,,,"So yeah, it seems like there's some very high values for some of these variables."
11,j2719eertu2,P5,Static,Space,23:03,FALSE,relationship (categorical X continuous),RELATIONSHIP,relationship existence / non-existence,data_dictionary_describe,data_dictionary_describe,"dataframe_describe_j2719eertu2space, data_dictionary, ",,,,"Oh, how much money the passenger used on a variety of things which i'm guessing is probably it might be correlated with VIP,"
12,j2719eertu2,P5,Static,Space,23:23,FALSE,,DATASET,data orientation,dataframe_profile,dataframe_profile,"df_column_profile_j2719eertu2space, titanicDataFrame_head2_j2719eertu2space, ",,,,"Their nameâ--  which is probably like.
mostly irrelevant."
13,j2719eertu2,P5,Static,Space,23:25,FALSE,,VARIABLE,"distribution shape [shape, skew, kurtosis]",profile,profile,"df_column_profile_j2719eertu2space, ",,,,So about half the passengers survived.
14,j2719eertu2,P5,Static,Space,23:46,FALSE,distribution  (continuous),VARIABLE,distribution outlier (variable),profile,profile,"df_column_profile_j2719eertu2space, ",,,,"Yeah, I mean, it seems like there might be some outliers for some of these variables as far as like spending on various things."
15,j2719eertu2,P5,Static,Space,23:50,FALSE,,DATASET,missing data,python,python,"dataframe_nanPercentage_j2719eertu2space, ",,,,"And then there's also a decent amount of like missingmissing variables for different. It's like. but no more than 5 ish. 100 divided by 5,000. It's not 5. That's 2%. Yeah. So there's like 2% missing for each variable."
16,j2719eertu2,P5,Static,Space,23:59,FALSE,,DATASET,missing data,python,python,"dataframe_nanPercentage_j2719eertu2space, ",,,,But none of them are missing the outcome. So that's good.
17,j2719eertu2,P5,Static,Space,25:05:00,FALSE,,VARIABLE,distribution outlier (variable),describe_profile,describe_profile,"df_column_profile_j2719eertu2space, dataframe_description_j2719eertu2happiness, ",,,,how many outliers are are there?
18,j2719eertu2,P5,Static,Space,28:56:00,FALSE,relationship (categorical X categorical),RELATIONSHIP,relationship strength and/or direction,double-profiler,double-profiler,"double_profile_survivors_nonSurvivors_j2719eertu2space, ",,,,Now I'm looking between people who did and did not survive. I'm seeing these distributions [HomePlanet] look pretty similar.
19,j2719eertu2,P5,Static,Space,29:30:00,FALSE,relationship (categorical X categorical),RELATIONSHIP,relationship strength and/or direction,double-profiler,double-profiler,"double_profile_survivors_nonSurvivors_j2719eertu2space, ",,,,It looks like more of the people who were in Cryo Sleep possibly did not survive.
20,j2719eertu2,P5,Static,Space,29:44:00,FALSE,relationship (categorical X categorical),RELATIONSHIP,relationship strength and/or direction,double-profiler,double-profiler,"double_profile_survivors_nonSurvivors_j2719eertu2space, ",,,,The destination distribution looks pretty similar.
21,j2719eertu2,P5,Static,Space,29:59:00,FALSE,relationship (categorical X continuous),RELATIONSHIP,relationship strength and/or direction,double-profiler,double-profiler,"double_profile_survivors_nonSurvivors_j2719eertu2space, ",,,,The age is pretty similar.
22,j2719eertu2,P5,Static,Space,30:04:00,FALSE,distribution (categorical),ANALYSIS PROCESS,representation comment,double-profiler,double-profiler,"double_profile_survivors_nonSurvivors_j2719eertu2space, ",,,,"the vip it's hard to say, because there's just so many that we're not vip so later it might kind of print out
the actual counts just to check that."
23,j2719eertu2,P5,Static,Space,30:18:00,FALSE,,VARIABLE,"distribution shape [shape, skew, kurtosis]",double-profiler,double-profiler,"double_profile_survivors_nonSurvivors_j2719eertu2space, ",,,,Room serviceâ--  kind of hard to say because there's so many that are 0.
24,j2719eertu2,P5,Static,Space,32:09:00,FALSE,,DATASET,variable metadata,double-profiler,double-profiler,"double_profile_survivors_nonSurvivors_j2719eertu2space, ",,,TRUE,so a lot of the variables that seem like they would be interesting between the 2 groups ... are categorical
25,j2719eertu2,P5,Static,Space,35:10:00,FALSE,distribution  (continuous),VARIABLE,"distribution shape [shape, skew, kurtosis]",pairplot,pairplot,"pairplot_uppercaseColumns_j2719eertu2space, ",,,TRUE,"I may want to do a transformation on these. They they don't necessarily seem like correlated, but so many of them are so close to 0 that it's just like hard to tell. "
26,j2719eertu2,P5,Static,Space,37:24:00,FALSE,,ANALYSIS PROCESS,plan of action,profile,profile,"altair_profile_contVars_j2719eertu2space, ",,,,"""Okay that is awkward. So I guess I'm really just interested in the ones that are non-zero. o now I don't know if I'm necessarily getting anywhere with this. I'm going to go back to looking at those that did and did not survive"""
27,j2719eertu2,P5,Static,Space,39:26:00,FALSE,,RELATIONSHIP,relationship strength and/or direction,heatmap,heatmap,"correlation_heatmap_j2719eertu2space, ",,,TRUE,"So I'm: kind of interested in survived and seeing if there's anything correlated with that of the continuous variables, and it kind of doesn't look like that. It doesn't look like there is."
28,j2719eertu2,P5,Static,Space,40:47:00,FALSE,relationship (categorical X categorical),RELATIONSHIP,relationship strength and/or direction,double-profiler,double-profiler,"double_profile_survivors_nonSurvivors_j2719eertu2space, ",,,TRUE,seems like cryosleep and potentially home planet might be associated with with survival.
29,j2719eertu2,P5,Static,Space,42:35:00,FALSE,relationship (categorical X categorical),RELATIONSHIP,relationship strength and/or direction,barplot,barplot,"survivors_cryosleep_countplot_correct_j2719eertu2space, ",,,,"So kind of ignoring the null ones, it seems like people that were in cryo sleep, have a much higher rate of survival than people that were not so."
30,j2719eertu2,P5,Interactive,Happiness,1:14:08,FALSE,,DATASET,data orientation,dataframe,dataframe,"dataframe_head_j2719eertu2happiness, ",,,,"So we have happiness scores, country, year. "
31,j2719eertu2,P5,Interactive,Happiness,1:14:49,TRUE,,ANALYSIS PROCESS,representation comment,profile,profile,"highlight_brush_with_profile_j2719eertu2happiness, ",,,,"okay, this is a lot of information."
32,j2719eertu2,P5,Interactive,Happiness,1:14:50,FALSE,distribution  (continuous),VARIABLE,"distribution shape [shape, skew, kurtosis]",profile,profile,"highlight_brush_with_profile_j2719eertu2happiness, ",,,,"So happiness score overall like over all the years, looks normally distributed."
