SID,Final_Group,Utterance Type,Utterance,Data Type,interaction_used,Highlevel,PID,Notebook,Condition,All representations,Timestamp,adj_timestamp,Dylan Flag Storytelling,Dylan Flag Correction,Dylan Flag Simultaneous Characterization,Vis_Was_Interactive,Timestamp,PNUM
0,dataframe,data orientation,"""Alright, so every row is the passenger, their home planet, whether or not they were asleep, what cabin they were in
destination",,FALSE,DATASET,j2719eertu2,Space,Static,"titanicDataFrame_head2_j2719eertu2space, ",19:57,0:19:57,,,,FALSE,19:57,P5
1,dataframe,data orientation,I guess output variable would be whether or not they survived.,,FALSE,DATASET,j2719eertu2,Space,Static,"titanicDataFrame_head2_j2719eertu2space, ",20:10,0:20:10,,,,FALSE,20:10,P5
2,profile,data size,"So there's 5,000 passengers.",,FALSE,DATASET,j2719eertu2,Space,Static,"df_column_profile_j2719eertu2space, ",21:27,0:21:27,,,,FALSE,21:27,P5
3,profile,"distribution shape [shape, skew, kurtosis]","Most of them are from Earth, but well, maybe like half of them are from Earth.The other half are split between through up on Mars. ",distribution (categorical),FALSE,VARIABLE,j2719eertu2,Space,Static,"df_column_profile_j2719eertu2space, ",21:29,0:21:29,,,,FALSE,21:29,P5
4,profile,missing data,And then there's some with missing data.,,FALSE,DATASET,j2719eertu2,Space,Static,"df_column_profile_j2719eertu2space, ",21:38,0:21:38,,,,FALSE,21:38,P5
5,profile,"distribution shape [shape, skew, kurtosis]",Like a third of them were asleep.,distribution (categorical),FALSE,VARIABLE,j2719eertu2,Space,Static,"df_column_profile_j2719eertu2space, ",21:44,0:21:44,,,,FALSE,21:44,P5
6,profile,"distribution shape [shape, skew, kurtosis]","about 900 of them must have been in shared cabins which might be
useful to know later.",distribution (categorical),FALSE,VARIABLE,j2719eertu2,Space,Static,"df_column_profile_j2719eertu2space, ",21:53,0:21:53,,,,FALSE,21:53,P5
7,profile,"distribution shape [shape, skew, kurtosis]","The age is like almost normally distributed, slightly skewed to the side",distribution  (continuous),FALSE,VARIABLE,j2719eertu2,Space,Static,"df_column_profile_j2719eertu2space, ",22:03,0:22:03,,,,FALSE,22:03,P5
8,profile,"distribution shape [shape, skew, kurtosis]",it's like there's a couple of vip passengers,distribution (categorical),FALSE,VARIABLE,j2719eertu2,Space,Static,"df_column_profile_j2719eertu2space, ",22:13,0:22:13,,,,FALSE,22:13,P5
9,profile,"distribution shape [shape, skew, kurtosis]",room service looks like logarithmically distributed.,distribution  (continuous),FALSE,VARIABLE,j2719eertu2,Space,Static,"df_column_profile_j2719eertu2space, ",22:19,0:22:19,,,,FALSE,22:19,P5
