,All representations,,,,Condition,,Data Type,Didn't use interaction,,,,,,,Insight Description,Justification,,,Notebook,,,,,PID,,Python Used,,,,,,Timestamp,,,Utterance,Was Interaction Used,Was Recapped,Was Vis used,group,interaction_used,,,Data Type,UtteranceType,highlevel,Was Interaction Used_content,Was Vis used_content,Python Used_content,Other representation_content,joined,output_types,combined_content
0,"titanicDataFrame_head2_j2719eertu2space,",,,,Static,,,,,,,,,,Dataset description ,,,,Space,,,,,j2719eertu2,,titanicDataFrame_head2_j2719eertu2space,,,,,,19:57,,,"""Alright, so every row is the passenger, their home planet, whether or not they were asleep, what cabin they were in
destination",,,,dataframe,FALSE,,,,data orientation,DATASET,,,df.head(),,titanicDataFrame_head2_j2719eertu2space,dataframe,  df.head() 
1,"titanicDataFrame_head2_j2719eertu2space,",,,,Static,,,,,,,,,,,,,,Space,,,,,j2719eertu2,,titanicDataFrame_head2_j2719eertu2space,,,,,,20:10,,,I guess output variable would be whether or not they survived.,,,,dataframe,FALSE,,,,data orientation,DATASET,,,df.head(),,titanicDataFrame_head2_j2719eertu2space,dataframe,  df.head() 
2,"df_column_profile_j2719eertu2space,",,,,Static,,,,,,,,,,There are 5000 passengers in the dataframe.,,,,Space,,,,,j2719eertu2,,,,,,,,21:27,,,"So there's 5,000 passengers.",,,df_column_profile_j2719eertu2space,profile,FALSE,,,,data size,DATASET,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)",,,df_column_profile_j2719eertu2space,visualization," columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)  "
3,"df_column_profile_j2719eertu2space,",,,,Static,,distribution (categorical),,,,,,,,"Half are from earth, other half are europa and Mars",,,,Space,,,,,j2719eertu2,,,,,,,,21:29,,,"Most of them are from Earth, but well, maybe like half of them are from Earth.The other half are split between through up on Mars. ",,,df_column_profile_j2719eertu2space,profile,FALSE,,,distribution (categorical),"distribution shape [shape, skew, kurtosis]",VARIABLE,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)",,,df_column_profile_j2719eertu2space,visualization," columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)  "
4,"df_column_profile_j2719eertu2space,",,,,Static,,,,,,,,,,Null data exists in the HomePlanet Chart,,,,Space,,,,,j2719eertu2,,,,,,,,21:38,,,And then there's some with missing data.,,,df_column_profile_j2719eertu2space,profile,FALSE,,,,missing data,DATASET,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)",,,df_column_profile_j2719eertu2space,visualization," columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)  "
5,"df_column_profile_j2719eertu2space,",,,,Static,,distribution (categorical),,,,,,,,1/3rd are cyrosleep,,,,Space,,,,,j2719eertu2,,,,,,,,21:44,,,Like a third of them were asleep.,,,df_column_profile_j2719eertu2space,profile,FALSE,,,distribution (categorical),"distribution shape [shape, skew, kurtosis]",VARIABLE,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)",,,df_column_profile_j2719eertu2space,visualization," columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)  "
6,"df_column_profile_j2719eertu2space,",,,,Static,,distribution (categorical),,,,,,,,about 900 were in shared cabins,,,,Space,,,,,j2719eertu2,,,,,,,,21:53,,,"about 900 of them must have been in shared cabins which might be
useful to know later.",,,df_column_profile_j2719eertu2space,profile,FALSE,,,distribution (categorical),"distribution shape [shape, skew, kurtosis]",VARIABLE,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)",,,df_column_profile_j2719eertu2space,visualization," columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)  "
7,"df_column_profile_j2719eertu2space,",,,,Static,,distribution  (continuous),,,,,,,,Age is normally distributed. Slightly skewed to the higher side. ,,,,Space,,,,,j2719eertu2,,,,,,,,22:03,,,"The age is like almost normally distributed, slightly skewed to the side",,,df_column_profile_j2719eertu2space,profile,FALSE,,,distribution  (continuous),"distribution shape [shape, skew, kurtosis]",VARIABLE,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)",,,df_column_profile_j2719eertu2space,visualization," columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)  "
8,"df_column_profile_j2719eertu2space,",,,,Static,,distribution (categorical),,,,,,,,Couple VIP passengers. ,,,,Space,,,,,j2719eertu2,,,,,,,,22:13,,,it's like there's a couple of vip passengers,,,df_column_profile_j2719eertu2space,profile,FALSE,,,distribution (categorical),"distribution shape [shape, skew, kurtosis]",VARIABLE,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)",,,df_column_profile_j2719eertu2space,visualization," columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)  "
9,"df_column_profile_j2719eertu2space,",,,,Static,,distribution  (continuous),,,,,,,,Room service looks log distributed. ,,,,Space,,,,,j2719eertu2,,,,,,,,22:19,,,room service looks like logarithmically distributed.,,,df_column_profile_j2719eertu2space,profile,FALSE,,,distribution  (continuous),"distribution shape [shape, skew, kurtosis]",VARIABLE,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)",,,df_column_profile_j2719eertu2space,visualization," columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)  "
