,PID,Notebook,Timestamp,interaction_used,Condition,Data Type,group,Utterance,All representations,Didn't use interaction,Insight Description,Justification,Python Used,Was Interaction Used,Was Recapped,Was Vis used,,,Data Type,UtteranceType,highlevel,Was Interaction Used_content,Was Vis used_content,Python Used_content,Other representation_content,joined,output_types,combined_content
0,j2719eertu2,Space,19:57,FALSE,Static,,dataframe,"""Alright, so every row is the passenger, their home planet, whether or not they were asleep, what cabin they were in
destination","titanicDataFrame_head2_j2719eertu2space,",,Dataset description ,,titanicDataFrame_head2_j2719eertu2space,,,,,,,data orientation,DATASET,,,df.head(),,titanicDataFrame_head2_j2719eertu2space,dataframe,  df.head() 
1,j2719eertu2,Space,20:10,FALSE,Static,,dataframe,I guess output variable would be whether or not they survived.,"titanicDataFrame_head2_j2719eertu2space,",,,,titanicDataFrame_head2_j2719eertu2space,,,,,,,data orientation,DATASET,,,df.head(),,titanicDataFrame_head2_j2719eertu2space,dataframe,  df.head() 
2,j2719eertu2,Space,21:27,FALSE,Static,,profile,"So there's 5,000 passengers.","df_column_profile_j2719eertu2space,",,There are 5000 passengers in the dataframe.,,,,,df_column_profile_j2719eertu2space,,,,data size,DATASET,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)",,,df_column_profile_j2719eertu2space,visualization," columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)  "
3,j2719eertu2,Space,21:29,FALSE,Static,distribution (categorical),profile,"Most of them are from Earth, but well, maybe like half of them are from Earth.The other half are split between through up on Mars. ","df_column_profile_j2719eertu2space,",,"Half are from earth, other half are europa and Mars",,,,,df_column_profile_j2719eertu2space,,,distribution (categorical),"distribution shape [shape, skew, kurtosis]",VARIABLE,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)",,,df_column_profile_j2719eertu2space,visualization," columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)  "
4,j2719eertu2,Space,21:38,FALSE,Static,,profile,And then there's some with missing data.,"df_column_profile_j2719eertu2space,",,Null data exists in the HomePlanet Chart,,,,,df_column_profile_j2719eertu2space,,,,missing data,DATASET,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)",,,df_column_profile_j2719eertu2space,visualization," columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)  "
5,j2719eertu2,Space,21:44,FALSE,Static,distribution (categorical),profile,Like a third of them were asleep.,"df_column_profile_j2719eertu2space,",,1/3rd are cyrosleep,,,,,df_column_profile_j2719eertu2space,,,distribution (categorical),"distribution shape [shape, skew, kurtosis]",VARIABLE,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)",,,df_column_profile_j2719eertu2space,visualization," columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)  "
6,j2719eertu2,Space,21:53,FALSE,Static,distribution (categorical),profile,"about 900 of them must have been in shared cabins which might be
useful to know later.","df_column_profile_j2719eertu2space,",,about 900 were in shared cabins,,,,,df_column_profile_j2719eertu2space,,,distribution (categorical),"distribution shape [shape, skew, kurtosis]",VARIABLE,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)",,,df_column_profile_j2719eertu2space,visualization," columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)  "
7,j2719eertu2,Space,22:03,FALSE,Static,distribution  (continuous),profile,"The age is like almost normally distributed, slightly skewed to the side","df_column_profile_j2719eertu2space,",,Age is normally distributed. Slightly skewed to the higher side. ,,,,,df_column_profile_j2719eertu2space,,,distribution  (continuous),"distribution shape [shape, skew, kurtosis]",VARIABLE,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)",,,df_column_profile_j2719eertu2space,visualization," columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)  "
8,j2719eertu2,Space,22:13,FALSE,Static,distribution (categorical),profile,it's like there's a couple of vip passengers,"df_column_profile_j2719eertu2space,",,Couple VIP passengers. ,,,,,df_column_profile_j2719eertu2space,,,distribution (categorical),"distribution shape [shape, skew, kurtosis]",VARIABLE,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)",,,df_column_profile_j2719eertu2space,visualization," columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)  "
9,j2719eertu2,Space,22:19,FALSE,Static,distribution  (continuous),profile,room service looks like logarithmically distributed.,"df_column_profile_j2719eertu2space,",,Room service looks log distributed. ,,,,,df_column_profile_j2719eertu2space,,,distribution  (continuous),"distribution shape [shape, skew, kurtosis]",VARIABLE,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)",,,df_column_profile_j2719eertu2space,visualization," columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)  "
