"sid","pid","PNUM","uid","TASK","DATASET","timestamp","ixn","code_topic","code_detail","code_datatype","flag_simultaneous","utterance","reps_group","time","task_start","task_end","task_mins","task_second","relative_time_s","relative_time","reps_multi","REP","rep_simple","rep_type","rep_name"
"0","j2719eertu2","P5","419","static","space",00:19:57,"FALSE","DATASET","data orientation",NA,FALSE,"""Alright, so every row is the passenger, their home planet, whether or not they were asleep, what cabin they were in
destination","dataframe",00:19:57,00:19:57,00:42:35,22.6,1358,0,0,FALSE,"dataframe","TABLE","CODE","titanicDataFrame_head2_j2719eertu2space"
"1","j2719eertu2","P5","432","static","space",00:20:10,"FALSE","DATASET","data orientation",NA,FALSE,"I guess output variable would be whether or not they survived.","dataframe",00:20:10,00:19:57,00:42:35,22.6,1358,13,13,FALSE,"dataframe","TABLE","CODE","titanicDataFrame_head2_j2719eertu2space"
"2","j2719eertu2","P5","476","static","space",00:21:27,"FALSE","DATASET","data size",NA,FALSE,"So there's 5,000 passengers.","profile",00:21:27,00:19:57,00:42:35,22.6,1358,90,90,FALSE,"profile","profile","CHART","df_column_profile_j2719eertu2space"
"3","j2719eertu2","P5","450","static","space",00:21:29,"FALSE","VARIABLE","distribution shape [shape, skew, kurtosis]","distribution (categorical)",FALSE,"Most of them are from Earth, but well, maybe like half of them are from Earth.The other half are split between through up on Mars.","profile",00:21:29,00:19:57,00:42:35,22.6,1358,92,92,FALSE,"profile","profile","CHART","df_column_profile_j2719eertu2space"
"4","j2719eertu2","P5","423","static","space",00:21:38,"FALSE","DATASET","missing data",NA,FALSE,"And then there's some with missing data.","profile",00:21:38,00:19:57,00:42:35,22.6,1358,101,101,FALSE,"profile","profile","CHART","df_column_profile_j2719eertu2space"
"5","j2719eertu2","P5","447","static","space",00:21:44,"FALSE","VARIABLE","distribution shape [shape, skew, kurtosis]","distribution (categorical)",FALSE,"Like a third of them were asleep.","profile",00:21:44,00:19:57,00:42:35,22.6,1358,107,107,FALSE,"profile","profile","CHART","df_column_profile_j2719eertu2space"
"6","j2719eertu2","P5","421","static","space",00:21:53,"FALSE","VARIABLE","distribution shape [shape, skew, kurtosis]","distribution (categorical)",FALSE,"about 900 of them must have been in shared cabins which might be
useful to know later.","profile",00:21:53,00:19:57,00:42:35,22.6,1358,116,116,FALSE,"profile","profile","CHART","df_column_profile_j2719eertu2space"
"7","j2719eertu2","P5","480","static","space",00:22:03,"FALSE","VARIABLE","distribution shape [shape, skew, kurtosis]","distribution  (continuous)",FALSE,"The age is like almost normally distributed, slightly skewed to the side","profile",00:22:03,00:19:57,00:42:35,22.6,1358,126,126,FALSE,"profile","profile","CHART","df_column_profile_j2719eertu2space"
"8","j2719eertu2","P5","444","static","space",00:22:13,"FALSE","VARIABLE","distribution shape [shape, skew, kurtosis]","distribution (categorical)",FALSE,"it's like there's a couple of vip passengers","profile",00:22:13,00:19:57,00:42:35,22.6,1358,136,136,FALSE,"profile","profile","CHART","df_column_profile_j2719eertu2space"
"9","j2719eertu2","P5","458","static","space",00:22:19,"FALSE","VARIABLE","distribution shape [shape, skew, kurtosis]","distribution  (continuous)",FALSE,"room service looks like logarithmically distributed.","profile",00:22:19,00:19:57,00:42:35,22.6,1358,142,142,FALSE,"profile","profile","CHART","df_column_profile_j2719eertu2space"
"10","j2719eertu2","P5","479","static","space",00:22:56,"FALSE","VARIABLE","distribution outlier (variable)","distribution  (continuous)",FALSE,"So yeah, it seems like there's some very high values for some of these variables.","describe",00:22:56,00:19:57,00:42:35,22.6,1358,179,179,FALSE,"describe","TABLE","CODE","dataframe_describe_j2719eertu2space"
"11","j2719eertu2","P5","452","static","space",00:23:03,"FALSE","RELATIONSHIP","relationship existence / non-existence","relationship (categorical X continuous)",FALSE,"Oh, how much money the passenger used on a variety of things which i'm guessing is probably it might be correlated with VIP,","dictionary",00:23:03,00:19:57,00:42:35,22.6,1358,186,186,TRUE,"dictionary","TABLE","CODE","dataframe_describe_j2719eertu2space data_dictionary,"
"11","j2719eertu2","P5","452","static","space",00:23:03,"FALSE","RELATIONSHIP","relationship existence / non-existence","relationship (categorical X continuous)",FALSE,"Oh, how much money the passenger used on a variety of things which i'm guessing is probably it might be correlated with VIP,","describe",00:23:03,00:19:57,00:42:35,22.6,1358,186,186,TRUE,"describe","TABLE","CODE","dataframe_describe_j2719eertu2space data_dictionary,"
"12","j2719eertu2","P5","488","static","space",00:23:23,"FALSE","DATASET","data orientation",NA,FALSE,"Their name– which is probably like.
mostly irrelevant.","dataframe",00:23:23,00:19:57,00:42:35,22.6,1358,206,206,TRUE,"dataframe","TABLE","CODE","df_column_profile_j2719eertu2space titanicDataFrame_head2_j2719eertu2space,"
"12","j2719eertu2","P5","488","static","space",00:23:23,"FALSE","DATASET","data orientation",NA,FALSE,"Their name– which is probably like.
mostly irrelevant.","profile",00:23:23,00:19:57,00:42:35,22.6,1358,206,206,TRUE,"profile","profile","CHART","df_column_profile_j2719eertu2space titanicDataFrame_head2_j2719eertu2space,"
"13","j2719eertu2","P5","465","static","space",00:23:25,"FALSE","VARIABLE","distribution shape [shape, skew, kurtosis]",NA,FALSE,"So about half the passengers survived.","profile",00:23:25,00:19:57,00:42:35,22.6,1358,208,208,FALSE,"profile","profile","CHART","df_column_profile_j2719eertu2space"
"14","j2719eertu2","P5","494","static","space",00:23:46,"FALSE","VARIABLE","distribution outlier (variable)","distribution  (continuous)",FALSE,"Yeah, I mean, it seems like there might be some outliers for some of these variables as far as like spending on various things.","profile",00:23:46,00:19:57,00:42:35,22.6,1358,229,229,FALSE,"profile","profile","CHART","df_column_profile_j2719eertu2space"
"15","j2719eertu2","P5","422","static","space",00:23:50,"FALSE","DATASET","missing data",NA,FALSE,"And then there's also a decent amount of like missingmissing variables for different. It's like. but no more than 5 ish. 100 divided by 5,000. It's not 5. That's 2%. Yeah. So there's like 2% missing for each variable.","python",00:23:50,00:19:57,00:42:35,22.6,1358,233,233,FALSE,"python","CODE","CODE","dataframe_nanPercentage_j2719eertu2space"
"16","j2719eertu2","P5","426","static","space",00:23:59,"FALSE","DATASET","missing data",NA,FALSE,"But none of them are missing the outcome. So that's good.","python",00:23:59,00:19:57,00:42:35,22.6,1358,242,242,FALSE,"python","CODE","CODE","dataframe_nanPercentage_j2719eertu2space"
"17","j2719eertu2","P5","430","static","space",00:25:05,"FALSE","VARIABLE","distribution outlier (variable)",NA,FALSE,"how many outliers are are there?","describe",00:25:05,00:19:57,00:42:35,22.6,1358,308,308,TRUE,"describe","TABLE","CODE","df_column_profile_j2719eertu2space dataframe_description_j2719eertu2happiness,"
