"pid","PNUM","TASK","DATASET","data_order","timestamp","time_elapsed","technique","IXN","REP","rep_type","cell_content","rep_name"
"3r2sh20ei","P9","ixn","space","happiness-first",1.69e+12,1948,"none",FALSE,"dataframe","TABLE","df","display_dataframe_3r2sh20eispace"
"3r2sh20ei","P9","ixn","space","happiness-first",1.69e+12,198752,"none",FALSE,"profile","CHART","columns = df.columns
 alx.profile(df,vars=columns)","profile_dataframe_3r2sh20eispace"
"3r2sh20ei","P9","ixn","space","happiness-first",1.69e+12,343121,"none",FALSE,"describe","TABLE","df.describe()","describe_dataframe_3r2sh20eispace"
"3r2sh20ei","P9","ixn","space","happiness-first",1.69e+12,373811,"none",FALSE,"dataframe","TABLE","df[df.isnull().any(axis=1)]","null_rows_dataframe_3r2sh20eispace"
"3r2sh20ei","P9","ixn","space","happiness-first",1.69e+12,495897,"none",FALSE,"pairplot","CHART","alx.pairplot(df)","pairplot_dataframe_3r2sh20eispace"
"3r2sh20ei","P9","ixn","space","happiness-first",1.69e+12,648224,"highlight_brush",TRUE,"scatterplot","CHART","alx.highlight_brush() + alx.scatterplot(df,x='ShoppingMall',y='FoodCourt')","interactive_scatterplot_shoppingmall_foodcourt_3r2sh20eispace"
"3r2sh20ei","P9","ixn","space","happiness-first",1.69e+12,864701,"filter_slider+highlight_brush+highlight_point+tooltip_hover",TRUE,"multiviewchart","CHART","count = alx.highlight_point() + alx.countplot(df,x='survived',width=700)
 

 scatter = alx.highlight_brush() + alx.scatterplot(df,x='ShoppingMall',y='FoodCourt')
 

 # alx.filter_slider(field='year')
 alx.highlight_brush() + alx.tooltip_hover() + (count & scatter)","interactive_countplot_survived_scatterplot_shoppingmall_foodcourt:2_3r2sh20eispace"
"3r2sh20ei","P9","ixn","space","happiness-first",1.69e+12,877314,"highlight_point",TRUE,"barplot","CHART","alx.highlight_point() + alx.countplot(df,x='survived',width=700)","interactive_countplot_survived_3r2sh20eispace"
"3r2sh20ei","P9","ixn","space","happiness-first",1.69e+12,885417,"highlight_brush",TRUE,"scatterplot","CHART","alx.highlight_brush() + alx.scatterplot(df,x='ShoppingMall',y='FoodCourt')","interactive_scatterplot_shoppingmall_foodcourt-2_3r2sh20eispace"
"3r2sh20ei","P9","ixn","space","happiness-first",1.69e+12,895283,"filter_slider+highlight_brush+highlight_point+tooltip_hover",TRUE,"multiviewchart","CHART","count = alx.highlight_point() + alx.countplot(df,x='survived',width=700)
 

 scatter = alx.scatterplot(df,x='ShoppingMall',y='FoodCourt')
 

 # alx.filter_slider(field='year')
 alx.highlight_brush() + alx.tooltip_hover() + (count & scatter)","interactive_countplot_survived_scatterplot_shoppingmall_foodcourt:3_3r2sh20eispace"
